,Level,Page,Question,Comment,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
24,P6,19,"-‘When the toy car was releaséd at point Y, it would roll down the slope. When
the toy car was released at point Z, it continued to move up the slope. Which
ara-ttie forces-acting on the-toy:carat points. and 2:",-,(4),-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,24,Yes,TempImages/2020-06-17 15-24-26_608576_92.jpg;TempImages/2020-06-17 15-24-26_608576_91.jpg
25,P6,19,"-Which of the following exptains why his speed increases as he moves down the
slope?",-,"(1) His weight increases.

","(2) More gravity Is pulling the man and the bicycle. .

","{3) - There is less frictional force between the bicycle and the slope.

44) The man and the bicycle are moving in the same direction as gravity.",-,SCIENCE,2018,tao_nan_exam_papers,SA2,25,Yes,TempImages/2020-06-17 15-24-26_608576_90.jpg
26,P6,20,"26. Three conductors of heat, A, Band C, have been arranged according to how well
they conduct heat as shown below.Good conductor Poor conductor
of heat of heatA nail with subsiances 4, Y or 2 was giued onto conductors A, B or C at equal
distance from the flame as shown below. Which nail will be the first to drop?",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,26,Yes,-;TempImages/2020-06-17 15-24-26_608576_97.jpg;TempImages/2020-06-17 15-24-26_608576_96.jpg;TempImages/2020-06-17 15-24-26_608576_95.jpg;TempImages/2020-06-17 15-24-26_608576_94.jpg;TempImages/2020-06-17 15-24-26_608576_93.jpg
27,P6,21,27.. Ashadow is shown in the diagram pelow.,-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,27,No,-
28,P6,21,"-) eee ) BE
WY Ribas . 3
_ aa",-,"(3) pry ro
| AD ) @ 1
ANS,",-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,28,Yes,TempImages/2020-06-17 15-24-26_608576_99.jpg;TempImages/2020-06-17 15-24-26_608576_98.jpg
29,P6,21,Which is the energy‘conversion shown above?,-,{1} potential eneray of boy > kinetic energy of trolley,"(2) kinetic energy of boy > potential energy of troliey
~ kinetic energy of trolley","(3) potential energy of boy > kinetic energy of boy
> kinetic energy of trolley","(4) kinetic energy of boy > potential energy of boy
~ kinetic energy of trolley ; :",SCIENCE,2018,tao_nan_exam_papers,SA2,29,Yes,-;TempImages/2020-06-17 15-24-26_608576_101.jpg;TempImages/2020-06-17 15-24-26_608576_100.jpg
30,P6,24,"29. Simon carried out.an experiment fo study the.effect of some environmental factors
on dead leaves. He placed the dead leaves.and some damp soil in a container as
shown below.After a few weeks, the dead leaves turned into a damp black substance which
could be used as fertiliser.(a) Name the process that caused the dead leaves to turn into a damp black
substance. {t]",-,"(6) Without changing any of the apparatus used nor adding water, suggest two.
methods how Simon could make the dead leaves turn into the black substance
faster. _ plain your answer. 7 33",-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,30,Yes,-;TempImages/2020-06-17 15-24-26_608576_104.jpg;TempImages/2020-06-17 15-24-26_608576_103.jpg;TempImages/2020-06-17 15-24-26_608576_102.jpg
31,P6,25,"30, Ahmad prepared.a set-up to find.out whether germinating seeds. produce carbon
dioxide. He soaked five seeds in water before placing them in the flask. He Jeft
the set-up in a warm and dark place for two days.Aiter two days, he observed tnat some of the seeds in the set-up germinated and
a the limewater.turned milky. Limewater turns milky in the presence of carbon. :
“dioxide. . it 7(a) Explain why the limewater turned milky.(b) Some of the seeds did not germinate. What will hapnen to these seeds after a
week? Explain your answer. . ",-,[2],-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,31,Yes,-;TempImages/2020-06-17 15-24-26_608576_106.jpg;TempImages/2020-06-17 15-24-26_608576_105.jpg
32,P6,26,"position P and the food-carrying tubes from the stem at position Q.(a) After some time, Emily observed that Leaf X had withered but not Leaf Z.
Give an explanation for her observation.(b) At the same time, Emily also observed a swelling in the stem above the cut
at position Q. Affer a week, the plant died. Explain why this happened.
uo ",-,{1],-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,32,Yes,-;TempImages/2020-06-17 15-24-26_608576_108.jpg;TempImages/2020-06-17 15-24-26_608576_107.jpg
33,P6,27,"graph below.
: Ali starts dancing0.5 1.
8 Time (min)Gi} Alls breathing rate",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,33,Yes,-;TempImages/2020-06-17 15-24-26_608576_111.jpg;TempImages/2020-06-17 15-24-26_608576_110.jpg;TempImages/2020-06-17 15-24-26_608576_109.jpg
34,P6,28,"33.. Leaves have tiny openings called stomata on their surfaces.(a) Based on the table above, ihe plant photosynthesises the most from 10 a.m.
to 4 p.m. Explain why. t’",-,"(6) Explain how the change in the size of the stomata in the presence of light can
be a disadvantage to a plant growing in a desert, fi}",-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,34,Yes,-;TempImages/2020-06-17 15-24-26_608576_115.jpg;TempImages/2020-06-17 15-24-26_608576_114.jpg;TempImages/2020-06-17 15-24-26_608576_113.jpg;TempImages/2020-06-17 15-24-26_608576_112.jpg
35,P6,29,"-(a) A large number of snakes were killed Dy some hunters. Expiain how this
. activity affected the population of the food producer. “(b) A huge forest fire broke out on the island. Two. consumers were able to escape
to another island. Which are the two consumers and give a reason for your",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,35,Yes,TempImages/2020-06-17 15-24-26_608576_118.jpg;TempImages/2020-06-17 15-24-26_608576_117.jpg;TempImages/2020-06-17 15-24-26_608576_116.jpg
36,P6,30,"35. Jack conducted an-expenment using two similar types of plants for pots G and H,
with different sizes of leaves. The two pots of plants with the same amount of soil
were placed in a garden and watered with the same amount of water at the start
of the experiment. A transparent glass cone was placed over each plant where
water would be collected al the base as shown.After one day, Jack measured the volume of water collected and recorded the
results as shown below”(a) Which pot, G or H, collected more water? Explain why more water was
collected at Hts base of the cone.The diagram below shows two types of leaves found growing on different trees, X
and Y. During winter, the water stays frozen as snow on the ground and very little
water reaches the roots of the trees. ,$1
We
% Oy Z
eR ee
AE “
ee Be
NES
Se hy
RN eyes ,
ae A
TREN
ARN WS :
RS” :(b) Which tree, X or Y, will not need to shed its ieaves during winter? : .
Explain your answer. ; iy(c) Strong winds can causé tree ‘pranches to break. Branches of which tree,
X or Y, would more likely break when there js a strong wind? Explain why.",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,36,Yes,-;TempImages/2020-06-17 15-24-26_608576_121.jpg;TempImages/2020-06-17 15-24-26_608576_120.jpg;TempImages/2020-06-17 15-24-26_608576_119.jpg;TempImages/2020-06-17 15-24-26_608576_125.jpg;TempImages/2020-06-17 15-24-26_608576_124.jpg;TempImages/2020-06-17 15-24-26_608576_123.jpg;TempImages/2020-06-17 15-24-26_608576_122.jpg
37,P6,32,"36. The joliowing set-up represents ihe water cycle.(a) Explain how the water droplets are formed on the underside of the plastic
sheet. ",-,{2},-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,37,Yes,-;TempImages/2020-06-17 15-24-26_608576_127.jpg;TempImages/2020-06-17 15-24-26_608576_126.jpg
38,P6,33,"37. .Ahmad set up the following circuit.He measured the brightness of the bulb with a light sensor. He then added

another battery and measured the brightness of the bulb. He repeated the

. experiment for different number of batteries and recorded his measurements
: - -- In the table below. a(a) What is a possible measurement tor the brightness of the bulb when three
batteries were used? {11(b} Based on the resulis, when the number of batteries used is four or below
what is the relationship between the brightness of the bulb and the number of
batteries? 4}(c) Give a reason why the brighiness. of the bulb Is zero when five batteries were
used. : £47",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,38,Yes,-;TempImages/2020-06-17 15-24-26_608576_130.jpg;TempImages/2020-06-17 15-24-26_608576_129.jpg;TempImages/2020-06-17 15-24-26_608576_128.jpg
39,P6,34,"38. Matihew had 2 set-ups, A and B, to find out how the type of surface affects
- the distance moved by an object on'the surface. He applied equal force on
each of the blocks and measured the distance. travelled by them.(a) Matthew's teacher said that his set-ups were incorrect. Desenbe two changes
- that- Matthew shoutd make fo Set-up.B so that he can test his aim correctly.(b) Besides friction and the force exeried by Matthew, which other force is
present in this experiment? {17Matthew now placed two identical blocks, A and B,; each on a wooden
surface. He-applied oif onto one-of the wooden'surfaces as shown below, -",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,39,Yes,-;TempImages/2020-06-17 15-24-26_608576_132.jpg;TempImages/2020-06-17 15-24-26_608576_131.jpg;TempImages/2020-06-17 15-24-26_608576_135.jpg;TempImages/2020-06-17 15-24-26_608576_134.jpg;TempImages/2020-06-17 15-24-26_608576_133.jpg
40,P6,36,"39. The diagram below. shows two similar sized iron cubes. released from point X.
There was a loud thud when the cubes landed on-the cement floor.cement floor(a) State the energy conversion when Cube A was released from the height and
landed on the cement floor. : y40. The following set-up is installed along a corridor to count the number of
students walking along the corridor into a classroom. :",-,-,-,-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,40,Yes,-;TempImages/2020-06-17 15-24-26_608576_138.jpg;TempImages/2020-06-17 15-24-26_608576_137.jpg;TempImages/2020-06-17 15-24-26_608576_136.jpg
41,P6,37,"-The following table shows the light sensor readings when the set-up 's
working.",-,"(6) Explain how the above set-up is able to detect the number of peopie waiking
past the corridor. . . ",[2],-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,41,Yes,TempImages/2020-06-17 15-24-26_608576_143.jpg;TempImages/2020-06-17 15-24-26_608576_142.jpg;TempImages/2020-06-17 15-24-26_608576_141.jpg;TempImages/2020-06-17 15-24-26_608576_140.jpg;TempImages/2020-06-17 15-24-26_608576_139.jpg
42,P6,38,"-She recorded the temperature of the water at regular intervals in the table as
shown below.(a) How. does the temperature of the water in the container wrapped. with
Fabric X change as the time increases? (7(b) Which fabric should’ Meiling use to make a shirt to keep a person cooler in a
warm surrounding? Explain your choice. ",-,{2),{1},-,-,SCIENCE,2018,tao_nan_exam_papers,SA2,42,Yes,TempImages/2020-06-17 15-24-26_608576_147.jpg;TempImages/2020-06-17 15-24-26_608576_146.jpg;TempImages/2020-06-17 15-24-26_608576_145.jpg;TempImages/2020-06-17 15-24-26_608576_144.jpg;TempImages/2020-06-17 15-24-26_608576_152.jpg;TempImages/2020-06-17 15-24-26_608576_151.jpg;TempImages/2020-06-17 15-24-26_608576_150.jpg;TempImages/2020-06-17 15-24-26_608576_149.jpg;TempImages/2020-06-17 15-24-26_608576_148.jpg;TempImages/2020-06-17 15-24-26_608576_155.jpg;TempImages/2020-06-17 15-24-26_608576_154.jpg;TempImages/2020-06-17 15-24-26_608576_153.jpg;TempImages/2020-06-17 15-24-26_608576_160.jpg;TempImages/2020-06-17 15-24-26_608576_159.jpg;TempImages/2020-06-17 15-24-26_608576_158.jpg;TempImages/2020-06-17 15-24-26_608576_157.jpg;TempImages/2020-06-17 15-24-26_608576_156.jpg
