,Level,Question,isMCQ,A,B,C,D,Subject,Year,School,Exam,Number,Image,Image File
18,P6,"20 {7} flair
(2) skills
(3} attitude
(4) guccess",-,"{7} flair
","(2) skills
","(3} attitude
",(4) guccess,ENGLISH,2019,chij,CA1,18,Yes,-;TempImages/20.jpg;TempImages/22.jpg;TempImages/21.jpg;TempImages/24.jpg;TempImages/23.jpg;TempImages/25.jpg
19,P6,"(1) to tell the readers about the history of the school.

(2) to inform the readers of the curriculum offered by the school

(3) to get readers interested in attending the school's open house

(4) to persuade readers that Shakesphere Secondary School is the right school for
them",-,"(1) to tell the readers about the history of the school.

","(2) to inform the readers of the curriculum offered by the school

","(3) to get readers interested in attending the school's open house

","(4) to persuade readers that Shakesphere Secondary School is the right school for
them",ENGLISH,2019,chij,CA1,19,No,-
20,P6,"22 Which of the following words from the seciton “Our History” is used to explain why Mr
Khoo Lee founded a school?",-,"(1) frugal

","(2) generous
","(3) supported
",(4) empaithise,ENGLISH,2019,chij,CA1,20,No,-
21,P6,"(1) Mr Khoo Lee's hard work

(2) Mr Khoo Lee’s rapid promotion

(3) the business Mr Khoo Lee staried
(4) the money Mr Khoo Lee had saved",-,"(1) Mr Khoo Lee's hard work

","(2) Mr Khoo Lee’s rapid promotion

","(3) the business Mr Khoo Lee staried
",(4) the money Mr Khoo Lee had saved,ENGLISH,2019,chij,CA1,21,No,-
22,P6,"24 According to the wedpage, which statement about Shakesphere Secondary School is
correct?",-,"(1) It Is one of the tirst institutions to offer a bilingual education.
","(2) Its alumni are respected in a particular industry.

","(3) it was founded by a group of philantnropists.

",(4) It is now a school for the underprivileged.,ENGLISH,2019,chij,CA1,22,No,-
23,P6,"20 Jil wants to jing out more about the admission process. What is best thing that she
should do on the day of the open house?",-,"(1) get a tickei for the Principal's Talk as saon as possible
","(2) talk to the teachers at the Academic Booths

","(3) arrive at the auditorium at 9.30 a.m. sharp

",(4) be at the auditorium after 3 p.m.,ENGLISH,2019,chij,CA1,23,Yes,-;TempImages/26.jpg
24,P6,ao Which of the statements is not true about the highlights of the open house?,-,"(1) Should visitors wish to attend the Principal's Talk, they can obtain tickets fo;
either of the two sessions.

","(2) Visitors can only interact with the teachers of the school at ihe Academic
Booths,

","(3) Visitors going on the school tour should meet the guides at the Parade Square.

",(4) All pupils can have a trial at the CCA booths to see if they like the CCA.,ENGLISH,2019,chij,CA1,24,No,-
25,P6,"af Get to know the CCAs that we offer: Clubs and Societies, Performing Arts, Sports and
Games and Uniform Groups.What is the function of the colon (:) used in the sentence above?",-,"(7) to give the definition of CCA

","(2) to draw attention to the CCAs offered

","(3) to list the different types of CCAs available

",(4) to convey excitement that a number of CCAs are offered,ENGLISH,2019,chij,CA1,25,No,-
26,P6,"28 Some of the information in this webpage expresses facts; others opinions. Which of the
following is an opinion?",-,"(1) Mr Khoo Lee contributed to various charity organisations.

","(2) Visitors can visit the school anytime from 9 a.m. to 4 p.m. on 13 April 2019.

","(3) Visitors can ask student ambassadors about school life in the school during the
school tour.

","(4) The campus tour will help pupils decide if they would like to enrol in
Shakesphere Secondary Scnool.",ENGLISH,2019,chij,CA1,26,Yes,-;TempImages/27.jpg;TempImages/37.jpg;TempImages/36.jpg;TempImages/35.jpg;TempImages/34.jpg;TempImages/33.jpg;TempImages/32.jpg;TempImages/31.jpg;TempImages/30.jpg;TempImages/29.jpg;TempImages/28.jpg;TempImages/38.jpg
27,P6,"32 Look at the tabie below. Whai do ihe words in the left column refer to in the passage?
Write your answers in the column in the right. (2m)",-,-,-,-,-,ENGLISH,2019,chij,CA1,27,No,-
28,P6,-,-,-,-,-,-,ENGLISH,2019,chij,CA1,28,Yes,TempImages/41.jpg
29,P6,-,-,-,-,-,-,ENGLISH,2019,chij,CA1,29,Yes,TempImages/40.jpg;TempImages/39.jpg
30,P6,"34 Based on jines 18 to 24, state whether each statement in the table below is true or false,
then give one reason why you think so. [3m]",-,-,-,-,-,ENGLISH,2019,chij,CA1,30,Yes,-;TempImages/44.jpg
31,P6,"35 = Before Grandma called out for help, what were two actions by the author that showed he
was in pain? [2m]
Fill in each blank below with one action.",-,-,-,-,-,ENGLISH,2019,chij,CA1,31,No,-
32,P6,"36 0 *...Grandma's anxious plea for intervention” (lines 27 and 28). What was Grandma pleading
for? [2m}",-,-,-,-,-,ENGLISH,2019,chij,CA1,32,No,-
33,P6,-,-,-,-,-,-,ENGLISH,2019,chij,CA1,33,Yes,TempImages/43.jpg;TempImages/42.jpg
34,P6,-i eEVEl * PRIMARY §&Q33 aj)remindedDb) make the young girl feel better.,-,-,-,-,-,ENGLISH,2019,chij,CA1,34,Yes,TempImages/49.jpg;TempImages/48.jpg;TempImages/47.jpg;TempImages/46.jpg;TempImages/45.jpg;TempImages/58.jpg;TempImages/57.jpg;TempImages/56.jpg;TempImages/55.jpg;TempImages/54.jpg;TempImages/53.jpg;TempImages/52.jpg;TempImages/51.jpg;TempImages/50.jpg
